scenario_type,A,controller,position_rmse_m,max_abs_error_m,settling_time_s,constraint_violation_pct,control_effort
sinusoidal,0.5,DOB+PD,0.7648 ± 0.031,1.392 ± 0.0062,nan,99.9 ± 0,2.909e+05 ± 1.6e+03
sinusoidal,0.5,Nominal MPC,0.002907 ± 0.0015,0.004259 ± 0.0023,5.345 ± 6,0 ± 0,5470 ± 5.1
sinusoidal,0.5,PD+GC,0.3119 ± 0.0071,0.5962 ± 0.055,nan,99.9 ± 0,9.678e+04 ± 1.2e+03
sinusoidal,0.5,Tube MPC,0.0029 ± 0.0015,0.004249 ± 0.0023,5.345 ± 6,0 ± 0,5470 ± 5.1
sinusoidal,1.0,DOB+PD,0.7784 ± 0.014,1.418 ± 0.033,nan,99.9 ± 0,2.913e+05 ± 2e+03
sinusoidal,1.0,Nominal MPC,0.005322 ± 0.0034,0.00768 ± 0.0047,1.08,0 ± 0,5503 ± 22
sinusoidal,1.0,PD+GC,0.3138 ± 0.02,0.5377 ± 0.052,nan,99.87 ± 0.058,1.067e+05 ± 1.6e+03
sinusoidal,1.0,Tube MPC,0.005305 ± 0.0034,0.007659 ± 0.0047,1.08,0 ± 0,5503 ± 22
sinusoidal,2.0,DOB+PD,0.8017 ± 0.026,1.421 ± 0.016,nan,99.9 ± 0,2.891e+05 ± 5.6e+03
sinusoidal,2.0,Nominal MPC,0.01035 ± 0.007,0.01466 ± 0.0096,9.9,0 ± 0,5624 ± 94
sinusoidal,2.0,PD+GC,0.3446 ± 0.04,0.6122 ± 0.097,nan,99.87 ± 0.058,9.809e+04 ± 2.9e+03
sinusoidal,2.0,Tube MPC,0.01032 ± 0.0069,0.01462 ± 0.0095,9.9,0 ± 0,5624 ± 94
step,0.5,DOB+PD,0.76,1.432,nan,99.9,2.947e+05
step,0.5,Nominal MPC,0.01708,0.01765,nan,0,6407
step,0.5,PD+GC,0.3398,0.6112,nan,99.9,9.608e+04
step,0.5,Tube MPC,0.01708,0.01765,nan,0,6407
step,1.0,DOB+PD,0.7998,1.438,nan,99.9,2.94e+05
step,1.0,Nominal MPC,0.03394,0.03507,nan,0,7470
step,1.0,PD+GC,0.3297,0.7021,nan,99.9,1.048e+05
step,1.0,Tube MPC,0.03393,0.03506,nan,0,7469
step,2.0,DOB+PD,0.7497,1.406,nan,99.9,2.951e+05
step,2.0,Nominal MPC,0.06729,0.06954,nan,0,9890
step,2.0,PD+GC,0.284,0.5466,nan,99.9,1.154e+05
step,2.0,Tube MPC,0.06727,0.06952,nan,0,9890
stochastic,0.5,DOB+PD,0.7916 ± 0.034,1.405 ± 0.037,nan,99.9 ± 1.5e-14,2.887e+05 ± 6.3e+03
stochastic,0.5,Nominal MPC,0.002299 ± 0.0003,0.004759 ± 0.00095,6.279 ± 2.7,0 ± 0,5457 ± 30
stochastic,0.5,PD+GC,0.342 ± 0.039,0.6458 ± 0.17,nan,99.89 ± 0.037,1.003e+05 ± 5.4e+03
stochastic,0.5,Tube MPC,0.002295 ± 0.0003,0.004743 ± 0.00095,6.278 ± 2.7,0 ± 0,5457 ± 30
stochastic,1.0,DOB+PD,0.7697 ± 0.026,1.406 ± 0.022,nan,99.9 ± 1.5e-14,2.914e+05 ± 4.3e+03
stochastic,1.0,Nominal MPC,0.004106 ± 0.00064,0.009278 ± 0.002,9.589 ± 0.53,0 ± 0,5464 ± 59
stochastic,1.0,PD+GC,0.3382 ± 0.035,0.6676 ± 0.16,nan,99.87 ± 0.093,1.029e+05 ± 7.1e+03
stochastic,1.0,Tube MPC,0.004094 ± 0.00064,0.009241 ± 0.002,9.587 ± 0.53,0 ± 0,5464 ± 59
stochastic,2.0,DOB+PD,0.7841 ± 0.026,1.409 ± 0.03,nan,99.9 ± 1.5e-14,2.906e+05 ± 3.6e+03
stochastic,2.0,Nominal MPC,0.007947 ± 0.0013,0.01842 ± 0.004,9.807 ± 0.18,0 ± 0,5499 ± 1.2e+02
stochastic,2.0,PD+GC,0.3269 ± 0.051,0.6229 ± 0.17,nan,99.85 ± 0.061,1.021e+05 ± 7.1e+03
stochastic,2.0,Tube MPC,0.007919 ± 0.0013,0.01835 ± 0.004,9.809 ± 0.18,0 ± 0,5499 ± 1.2e+02
